databaseName,branch,datetime,batchId,operation,version,result
nexus_opdb,operational,2025-03-15T12:00:00,1112-dead-beef-0001,create,1.0.0,success
nexus_opdb,operational,now,myFavoritebatchId,update,1.0.1,apply1.sql,success
nexus_opdb,operational,now,myFavoritebatchId,update,1.0.1,apply1.sql,success
nexus_opdb,operational,now,myFavoritebatchId,update,1.0.1,apply2.sql,success
nexus_opdb,operational,now,myFavoritebatchId,update,1.0.1,apply1.sql,success
nexus_opdb,operational,now,myFavoritebatchId,update,1.0.1,apply2.sql,success
nexus_opdb,operational,now,myFavoritebatchId,update,1.0.1,apply1.sql,success
nexus_opdb,operational,now,myFavoritebatchId,update,1.0.1,apply2.sql,success
nexus_opdb,operational,now,myFavoritebatchId,update,1.0.1,apply1.sql,success
nexus_opdb,operational,now,myFavoritebatchId,update,1.0.1,apply2.sql,success
nexus_opdb,operational,now,myFavoritebatchId,update,1.0.1,apply1.sql,success
nexus_opdb,operational,now,myFavoritebatchId,update,1.0.1,apply2.sql,success
nexus_opdb,operational,now,myFavoritebatchId,update,1.0.1,apply1.sql,success
nexus_opdb,operational,now,myFavoritebatchId,update,1.0.1,apply2.sql,success
nexus_opdb,operational,now,myFavoritebatchId,update,1.0.1,apply1.sql,success
nexus_opdb,operational,now,myFavoritebatchId,update,1.0.1,apply2.sql,success
